Symbol,Company Name,Current Price,Previous Close,Daily Change
AAPL,Apple Inc.,275.91,276.49,-0.58 (-0.21%)
MSFT,Microsoft Corporation,393.67,414.19,-20.52 (-4.95%)
GOOG,Alphabet Inc.,331.33,333.34,-2.01 (-0.60%)
TSLA,"Tesla, Inc.",397.21,406.01,-8.80 (-2.17%)
NTPC.NS,NTPC Limited,363.7,367.0,-3.30 (-0.90%)
TRIDENT.NS,Trident Limited,27.59,28.2,-0.61 (-2.16%)
HINDALCO.NS,Hindalco Industries Limited,940.45,935.45,5.00 (0.53%)
HINDCOPPER.NS,Hindustan Copper Limited,581.0,607.3,-26.30 (-4.33%)
TATASTEEL.NS,Tata Steel Limited,196.95,197.76,-0.81 (-0.41%)
